FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
4682,0026XX Oliver AV N,3756914,MP 2018 135658,4,2018/04/30 01:18:00,2018/04/30 00:35:00,00:35:00,ASLT2,Asslt W/dngrs Weapon,5,2018/04/30 01:18:37,10907,45.00691522,-93.3069452,"-10,386,881.6269","5,622,610.211",JORDAN,2018/05/01 13:10:06,2018/05/01 20:00:35
4683,0002XX Hennepin AV S,3756935,MP 2018 133097,1,2018/04/30 07:15:00,2018/04/27 18:42:00,18:42:00,SHOPLF,Shoplifting,7,2018/04/30 06:55:54,21314,44.982576,-93.26841736,"-10,382,592.7271","5,618,778.8502",NORTH LOOP,2018/05/01 14:31:14,2018/05/01 20:00:35
4684,0009XX Park AV S,3756936,MP 2018 135788,1,2018/04/30 08:00:00,2018/04/30 06:58:00,06:58:00,ASLT3,Aslt-sgnfcnt Bdly Hm,5,2018/04/30 07:58:33,21659,44.97043737,-93.26475068,"-10,382,184.5547","5,616,868.6557",ELLIOT PARK,2018/05/01 09:31:36,2018/05/01 20:00:35
4685,0039XX Bryant AV N,3756946,MP 2018 135870,4,2018/04/30 09:45:00,2018/04/30 09:42:00,09:42:00,AUTOTH,Motor Vehicle Theft,8,2018/04/30 09:51:31,18897,45.02666719,-93.29061148,"-10,385,063.3661","5,625,720.6664",WEBBER - CAMDEN,2018/05/01 15:04:24,2018/05/01 20:00:35
4686,32 ST E / Minnehaha AV S,3756982,MP 2018 135949,3,2018/04/30 11:00:00,2018/04/30 01:40:00,01:40:00,ROBPAG,Robbery Per Agg,4,2018/04/30 11:40:14,,44.94488,-93.2317,"-10,378,505.12","5,612,847.693",LONGFELLOW,2018/05/01 02:35:19,2018/05/01 20:00:35
4687,0008XX Washington AV SE,3757010,MP 2018 128971,2,2018/04/30 13:50:00,2018/04/24 14:31:00,14:31:00,THEFT,Other Theft,7,2018/04/30 13:51:09,15171,44.97362151,-93.22639333,"-10,377,914.6339","5,617,369.6881",PROSPECT PARK - EAST RIVER ROAD,2018/05/01 13:44:28,2018/05/01 20:00:35
4688,0010XX Currie AV ,3757013,MP 2018 136097,1,2018/04/30 13:54:59,2018/04/30 13:09:59,13:10:00,THEFT,Other Theft,7,2018/04/30 13:55:26,25669,44.97802336,-93.29716994,"-10,385,793.4503","5,618,062.3777",DOWNTOWN WEST,2018/05/01 09:32:35,2018/05/01 20:00:35
4689,0023XX Lyndale AV N,3757014,MP 2018 136146,4,2018/04/30 13:44:59,2018/04/29 05:00:00,05:00:00,TFMV,Theft From Motr Vehc,7,2018/04/30 13:57:13,15066,45.00313551,-93.28798983,"-10,384,771.5255","5,622,015.1218",HAWTHORNE,2018/05/01 06:26:17,2018/05/01 20:00:35
4690,0030XX Minnehaha AV S,3757030,MP 2018 136195,3,2018/04/30 14:44:00,2018/04/20 14:29:00,14:29:00,THEFT,Other Theft,7,2018/04/30 14:43:25,19097,44.94837171,-93.23514707,"-10,378,889.0961","5,613,397.3273",LONGFELLOW,2018/04/30 21:52:08,2018/05/01 20:00:35
4691,0026XX Madison ST NE,3757039,MP 2018 136179,2,2018/04/30 15:14:59,2018/04/29 18:59:59,19:00:00,BURGD,Burglary Of Dwelling,6,2018/04/30 15:13:32,11030,45.015878,-93.25429507,"-10,381,020.6415","5,624,021.4987",HOLLAND,2018/05/01 09:59:08,2018/05/01 20:00:35
4692,Grant ST W / Lasalle AV ,3757045,MP 2018 136270,1,2018/04/30 15:35:00,2018/04/30 15:17:00,15:17:00,ROBPER,Robbery Of Person,4,2018/04/30 15:38:31,,44.96986,-93.27933,"-10,383,806.98","5,616,778.26",LORING PARK,2018/05/01 09:32:52,2018/05/01 20:00:35
4693,0015XX Broadway AV W,3757075,MP 2018 136187,4,2018/04/30 18:14:59,2018/04/30 13:09:59,13:10:00,AUTOTH,Motor Vehicle Theft,8,2018/04/30 18:10:38,14792,44.99962492,-93.29979483,"-10,386,085.652","5,621,462.4371",JORDAN,2018/05/01 06:12:49,2018/05/01 20:00:35
4694,0024XX 26 ST E,3757077,MP 2018 136481,3,2018/04/30 18:24:59,2018/02/09 12:00:00,12:00:00,AUTOTH,Motor Vehicle Theft,8,2018/04/30 18:24:31,19094,44.95556206,-93.23700614,"-10,379,096.0464","5,614,528.353",SEWARD,2018/05/01 02:23:10,2018/05/01 20:00:35
4695,0013XX Franklin AV E,3757079,MP 2018 135911,3,2018/04/30 18:27:59,2018/04/30 10:30:00,10:30:00,THEFT,Other Theft,7,2018/04/30 18:28:23,21481,44.96272054,-93.25611556,"-10,381,223.2971","5,615,654.5062",VENTURA VILLAGE,2018/04/30 22:12:00,2018/05/01 20:00:35
4696,0031XX Lyndale AV N,3757080,MP 2018 136501,4,2018/04/30 18:42:00,2018/04/30 15:59:59,16:00:00,ROBPER,Robbery Of Person,4,2018/04/30 18:40:31,11117,45.01208956,-93.28800733,"-10,384,773.4728","5,623,424.9414",HAWTHORNE,2018/05/01 14:57:19,2018/05/01 20:00:35
4697,0032XX Bloomington AV S,3757082,MP 2018 136340,3,2018/04/30 18:59:59,2018/04/30 06:59:59,07:00:00,THEFT,Other Theft,7,2018/04/30 18:52:34,11594,44.94382254,-93.25246604,"-10,380,817.0349","5,612,681.8261",POWDERHORN PARK,2018/05/01 05:57:00,2018/05/01 20:00:35
4698,0030XX Hennepin AV S,3757085,MP 2018 136425,5,2018/04/30 19:31:59,2018/04/30 14:29:59,14:30:00,SHOPLF,Shoplifting,7,2018/04/30 19:33:09,11281,44.9474742,-93.29829195,"-10,385,918.3514","5,613,256.1615",ECCO,2018/04/30 20:57:06,2018/05/01 20:00:35
4699,0030XX Hennepin AV S,3757088,MP 2018 136507,5,2018/04/30 19:46:00,2018/04/25 08:00:00,08:00:00,SHOPLF,Shoplifting,7,2018/04/30 19:47:05,11281,44.9474742,-93.29829195,"-10,385,918.3514","5,613,256.1615",ECCO,2018/04/30 20:58:27,2018/05/01 20:00:35
4700,0009XX 15 AV SE,3757089,MP 2018 136556,2,2018/04/30 19:50:59,2018/04/30 06:59:59,07:00:00,THEFT,Other Theft,7,2018/04/30 19:50:51,19119,44.98720981,-93.23038029,"-10,378,358.4607","5,619,508.1573",COMO,2018/05/01 02:02:02,2018/05/01 20:00:35
4701,0022XX Riverside AV ,3757090,MP 2018 136550,1,2018/04/30 20:07:59,2018/04/30 16:50:00,16:50:00,THEFT,Other Theft,7,2018/04/30 20:02:11,20043,44.96734047,-93.24049668,"-10,379,484.6114","5,616,381.3757",CEDAR RIVERSIDE,2018/05/01 19:42:07,2018/05/01 20:00:35
4702,0030XX Hennepin AV S,3757091,MP 2018 136508,5,2018/04/30 20:03:59,2018/04/28 13:50:00,13:50:00,SHOPLF,Shoplifting,7,2018/04/30 20:04:58,11281,44.9474742,-93.29829195,"-10,385,918.3514","5,613,256.1615",ECCO,2018/04/30 20:59:18,2018/05/01 20:00:35
4703,0025XX 9 ST S,3757093,MP 2018 136590,3,2018/04/27 16:15:59,2018/04/27 15:59:59,16:00:00,THFTSW,Theft By Swindle,7,2018/04/30 20:07:15,17196,44.96397232,-93.23457729,"-10,378,825.6681","5,615,851.4469",SEWARD,2018/04/30 20:48:24,2018/05/01 20:00:35
4704,0030XX Hennepin AV S,3757094,MP 2018 136509,5,2018/04/30 20:09:00,2018/04/28 14:29:59,14:30:00,SHOPLF,Shoplifting,7,2018/04/30 20:10:16,11281,44.9474742,-93.29829195,"-10,385,918.3514","5,613,256.1615",ECCO,2018/04/30 20:59:49,2018/05/01 20:00:35
4705,0019XX Central AV NE,3757096,MP 2018 136543,2,2018/04/30 20:39:59,2018/04/28 22:30:00,22:30:00,CSCR,Crim Sex Cond-rape,3,2018/04/30 20:37:50,14502,45.00840641,-93.24736969,"-10,380,249.7121","5,622,845.0005",WINDOM PARK,2018/05/01 08:47:49,2018/05/01 20:00:35
4706,0031XX 19 AV S,3757099,MP 2018 997903,3,2018/04/30 21:00:25,2018/04/30 08:00:00,08:00:00,BIKETF,Bike Theft,7,2018/04/30 21:00:25,13244,44.94565027,-93.24486273,"-10,379,970.6383","5,612,969.2872",CORCORAN,2018/04/30 21:56:37,2018/05/01 20:00:35
4707,0000XX Twins WY ,3757102,MP 2018 136688,1,2018/04/30 21:19:00,2018/04/30 20:19:59,20:20:00,THEFT,Other Theft,7,2018/04/30 21:19:46,25939,44.98073118,-93.27851799,"-10,383,717.1249","5,618,488.5152",NORTH LOOP,2018/05/01 03:24:58,2018/05/01 20:00:35
4708,0012XX Hennepin AV S,3757105,MP 2018 136656,1,2018/04/30 21:26:00,2018/04/30 20:00:00,20:00:00,THEFT,Other Theft,7,2018/04/30 21:25:59,16661,44.97449561,-93.28102208,"-10,383,995.8787","5,617,507.2357",LORING PARK,2018/05/01 09:32:06,2018/05/01 20:00:35
4709,0013XX Penn AV N,3757107,MP 2018 136291,4,2018/04/30 21:39:00,2018/04/30 15:30:00,15:30:00,ROBPER,Robbery Of Person,4,2018/04/30 21:34:14,17609,44.99228641,-93.30822355,"-10,387,023.9321","5,620,307.221",WILLARD - HAY,2018/05/01 07:23:49,2018/05/01 20:00:35
4710,0057XX 31 AV S,3757110,MP 2018 136288,3,2018/04/30 21:39:00,2018/04/29 23:32:59,23:33:00,BURGD,Burglary Of Dwelling,6,2018/04/30 21:38:12,13010,44.89934537,-93.22726809,"-10,378,012.0118","5,605,689.3686",WENONAH,2018/05/01 06:01:07,2018/05/01 20:00:35
4711,00004X 27 AV SE,3757112,MP 2018 136681,2,2018/04/30 21:49:59,2018/04/25 21:00:00,21:00:00,BURGD,Burglary Of Dwelling,6,2018/04/30 21:48:14,22880,44.96743113,-93.22055863,"-10,377,265.1177","5,616,395.6411",PROSPECT PARK - EAST RIVER ROAD,2018/04/30 23:02:36,2018/05/01 20:00:35
4712,0020XX James AV N,3757117,MP 2018 136458,4,2018/04/30 20:06:00,2018/04/29 20:29:59,20:30:00,BURGD,Burglary Of Dwelling,6,2018/04/30 22:05:35,19421,44.99984911,-93.3008393,"-10,386,201.9212","5,621,497.7322",JORDAN,2018/05/01 06:13:44,2018/05/01 20:00:35
4713,0031XX Cleveland ST NE,3757128,MP 2018 136485,2,2018/04/30 23:03:59,2018/04/29 21:16:00,21:16:00,BURGD,Burglary Of Dwelling,6,2018/04/30 23:03:16,10288,45.02498486,-93.23071217,"-10,378,395.4052","5,625,455.6998",WAITE PARK,2018/05/01 06:36:40,2018/05/01 20:00:35
4714,0025XX Lake ST E,3757137,MP 2018 136700,3,2018/05/01 20:50:00,2018/04/30 20:38:00,20:38:00,SHOPLF,Shoplifting,7,2018/05/01 00:25:46,19097,44.94837171,-93.23514707,"-10,378,889.0961","5,613,397.3273",LONGFELLOW,2018/05/01 02:19:34,2018/05/01 20:00:35
4715,0003XX Oak Grove ST ,3757138,MP 2018 136593,1,2018/04/30 23:29:59,2018/04/30 18:49:59,18:50:00,THEFT,Other Theft,7,2018/05/01 00:30:08,15057,44.96692818,-93.28322844,"-10,384,241.489","5,616,316.5062",LORING PARK,2018/05/01 03:28:42,2018/05/01 20:00:35
4716,18 AV S / 27 ST E,3757139,MP 2018 136966,3,2018/05/01 00:33:00,2018/05/01 00:10:00,00:10:00,ROBPER,Robbery Of Person,4,2018/05/01 00:32:54,,44.95375,-93.24864,"-10,380,391.57","5,614,242.753",EAST PHILLIPS,2018/05/01 07:28:29,2018/05/01 20:00:35
4717,0009XX Hawthorne AV ,3757148,MP 2018 136968,1,2018/05/01 02:00:00,2018/05/01 00:19:00,00:19:00,ASLT4,Aslt-police/emerg P,5,2018/05/01 01:13:30,15157,44.97694447,-93.27819736,"-10,383,681.432","5,617,892.5953",DOWNTOWN WEST,2018/05/01 12:09:54,2018/05/01 20:00:35
4718,0008XX 19 AV SE,3757149,MP 2018 136911,2,2018/05/01 00:01:00,2018/04/30 23:23:59,23:24:00,DASTR,Domestic Assault/Strangulation,5,2018/05/01 01:23:20,16934,44.98515177,-93.22558261,"-10,377,824.3854","5,619,184.239",COMO,2018/05/01 11:27:55,2018/05/01 20:00:35
4719,0010XX 26 ST W,3757152,MP 2018 997902,5,2018/05/01 02:29:13,2018/04/30 00:00:00,00:00:00,BIKETF,Bike Theft,7,2018/05/01 02:29:13,16077,44.95554742,-93.29250178,"-10,385,273.7929","5,614,526.0502",LOWRY HILL EAST,2018/05/01 02:29:20,2018/05/01 20:00:35
4720,0048XX Minnehaha AV S,3757157,MP 2018 137050,3,2018/05/01 03:10:00,2018/05/01 01:28:59,01:29:00,BURGB,Burglary Of Business,6,2018/05/01 03:10:01,25885,44.91669505,-93.21323789,"-10,376,450.1776","5,608,416.3473",HIAWATHA,2018/05/01 06:00:19,2018/05/01 20:00:35
4721,0025XX Garfield ST NE,3757160,MP 2018 136799,2,2018/05/01 03:30:00,2018/04/30 20:29:59,20:30:00,BURGD,Burglary Of Dwelling,6,2018/05/01 03:28:55,14244,45.01367719,-93.23276897,"-10,378,624.3672","5,623,674.9364",AUDUBON PARK,2018/05/01 05:02:51,2018/05/01 20:00:35
4722,0032XX Tyler ST NE,3757168,MP 2018 137138,2,2018/05/01 06:40:00,2018/04/30 20:00:00,20:00:00,BURGD,Burglary Of Dwelling,6,2018/05/01 06:36:35,13175,45.02671766,-93.2460625,"-10,380,104.1964","5,625,728.6161",WAITE PARK,2018/05/01 12:11:29,2018/05/01 20:00:35
4723,0040XX Lake ST E,3757171,MP 2018 137177,3,2018/05/01 08:07:59,2018/05/01 07:40:00,07:40:00,TFMV,Theft From Motr Vehc,7,2018/05/01 08:08:19,14413,44.94834397,-93.21463011,"-10,376,605.1584","5,613,392.9643",COOPER,2018/05/01 11:57:33,2018/05/01 20:00:35
4724,0035XX Humboldt AV N,3757175,MP 2018 132861,4,2018/05/01 08:29:59,2018/04/15 00:00:00,00:00:00,THFTSW,Theft By Swindle,7,2018/05/01 08:24:06,10415,45.01948583,-93.2980998,"-10,385,896.9617","5,624,589.6525",FOLWELL,2018/05/01 13:06:26,2018/05/01 20:00:35
4725,0025XX Lake ST E,3757177,MP 2018 997901,3,2018/05/01 08:31:22,2018/02/17 00:00:00,00:00:00,THEFT,Other Theft,7,2018/05/01 08:31:22,19097,44.94837171,-93.23514707,"-10,378,889.0961","5,613,397.3273",LONGFELLOW,2018/05/01 08:31:28,2018/05/01 20:00:35
4726,0039XX Beard AV S,3757178,MP 2018 137179,5,2018/05/01 08:35:00,2018/04/30 21:59:59,22:00:00,AUTOTH,Motor Vehicle Theft,8,2018/05/01 08:32:15,11060,44.93143506,-93.32393733,"-10,388,773.1826","5,610,733.7904",LINDEN HILLS,2018/05/01 15:17:31,2018/05/01 20:00:35
4727,42 ST E / Nicollet AV S,3757214,MP 2018 137221,5,2018/05/01 09:30:00,2018/05/01 08:15:00,08:15:00,TFMV,Theft From Motr Vehc,7,2018/05/01 09:25:15,,44.92687,-93.27793,"-10,383,651.66","5,610,016.42",KING FIELD,2018/05/01 15:17:08,2018/05/01 20:00:35
4728,0031XX 10 AV S,3757232,MP 2018 137244,3,2018/05/01 09:46:59,2018/04/30 18:00:00,18:00:00,AUTOTH,Motor Vehicle Theft,8,2018/05/01 09:46:48,11220,44.94563808,-93.26009408,"-10,381,666.1845","5,612,967.3709",POWDERHORN PARK,2018/05/01 12:04:29,2018/05/01 20:00:35
4729,0015XX Logan AV N,3757261,MP 2018 137256,4,2018/05/01 11:00:59,2018/05/01 09:43:59,09:44:00,BURGD,Burglary Of Dwelling,6,2018/05/01 10:51:59,11489,44.99468535,-93.3031947,"-10,386,464.1236","5,620,684.8429",WILLARD - HAY,2018/05/01 12:56:50,2018/05/01 20:00:35
4730,0046XX 4 AV S,3757272,MP 2018 997897,3,2018/05/01 11:07:34,2018/04/28 18:59:00,18:59:00,THEFT,Other Theft,7,2018/05/01 11:07:34,12988,44.91879565,-93.27026144,"-10,382,798.0101","5,608,746.5695",FIELD,2018/05/01 11:07:36,2018/05/01 20:00:35
4731,0015XX HENNEPIN AV ,3757298,MP 2018 997896,1,2018/05/01 11:56:03,2018/04/30 15:14:59,15:15:00,TBLDG,Theft From Building,7,2018/05/01 11:56:03,17275,44.9729139,-93.28487068,"-10,384,424.303","5,617,258.3414",LORING PARK,2018/05/01 11:56:07,2018/05/01 20:00:35
4732,0011XX 8 ST S,3757303,MP 2018 137406,1,2018/05/01 12:14:59,2018/04/18 11:00:00,11:00:00,THEFT,Other Theft,7,2018/05/01 12:14:23,19054,44.96900367,-93.25672375,"-10,381,291.0004","5,616,643.0682",ELLIOT PARK,2018/05/01 12:59:46,2018/05/01 20:00:35
4733,0011XX Lake ST E,3757318,MP 2018 137462,3,2018/05/01 12:58:00,2018/05/01 12:10:00,12:10:00,THEFT,Other Theft,7,2018/05/01 13:11:26,20180,44.9483604,-93.2582231,"-10,381,457.9073","5,613,395.5475",MIDTOWN PHILLIPS,2018/05/01 19:31:11,2018/05/01 20:00:35
4734,0001XX 7 ST S,3757321,MP 2018 997893,1,2018/05/01 13:12:45,2018/04/30 14:39:59,14:40:00,TFMV,Theft From Motr Vehc,7,2018/05/01 13:12:45,21742,44.97603263,-93.27019759,"-10,382,790.9018","5,617,749.1034",DOWNTOWN WEST,2018/05/01 13:12:47,2018/05/01 20:00:35
4735,0027XX Grand AV S,3757323,MP 2018 137419,5,2018/05/01 13:21:00,2018/05/01 12:00:00,12:00:00,DASLT2,2nd Deg Domes Aslt,5,2018/05/01 13:19:50,18386,44.95284655,-93.28425027,"-10,384,355.2391","5,614,101.1927",WHITTIER,2018/05/01 15:16:09,2018/05/01 20:00:35
4736,0036XX Penn AV N,3757326,MP 2018 137451,4,2018/05/01 13:28:59,2018/05/01 12:42:00,12:42:00,ASLT2,Asslt W/dngrs Weapon,5,2018/05/01 13:25:13,10352,45.02136805,-93.30828599,"-10,387,030.8837","5,624,886.0752",FOLWELL,2018/05/01 14:16:34,2018/05/01 20:00:35
4737,0018XX Lake ST E,3757353,MP 2018 137606,3,2018/05/01 15:23:00,2018/05/01 14:50:00,14:50:00,SHOPLF,Shoplifting,7,2018/05/01 15:20:34,21925,44.94837021,-93.24804949,"-10,380,325.3862","5,613,397.0915",EAST PHILLIPS,2018/05/01 19:38:02,2018/05/01 20:00:35
4738,0004XX MARQUETTE AV ,3757355,MP 2018 997891,1,2018/05/01 15:34:14,2018/05/01 12:00:00,12:00:00,THEFT,Other Theft,7,2018/05/01 15:34:14,17246,44.97871306,-93.26886327,"-10,382,642.366","5,618,170.9151",DOWNTOWN WEST,2018/05/01 15:34:17,2018/05/01 20:00:35
4739,0010XX 14 AV SE,3757358,MP 2018 997890,2,2018/05/01 15:39:43,2018/04/30 20:00:00,20:00:00,TFMV,Theft From Motr Vehc,7,2018/05/01 15:39:43,20986,44.99058474,-93.23203898,"-10,378,543.1044","5,620,039.3673",COMO,2018/05/01 15:39:46,2018/05/01 20:00:35
4740,TWINS WA  / 7 ST N,3757383,MP 2018 997887,99,2018/05/01 17:15:49,2018/04/27 18:59:59,19:00:00,BIKETF,Bike Theft,7,2018/05/01 17:15:49,0,0,0,0,0,,2018/05/01 17:15:56,2018/05/01 20:00:35
4741,0033XX Fremont AV N,3750957,MP 2018 104684,4,2018/04/03 00:53:59,2018/04/02 22:50:00,22:50:00,ASLT3,Aslt-sgnfcnt Bdly Hm,5,2018/04/03 00:49:16,10385,45.01584633,-93.29559151,"-10,385,617.7406","5,624,016.511",FOLWELL,2018/04/03 23:20:32,2018/04/04 20:00:34
4742,0022XX California ST NE,3751056,MP 2018 105188,2,2018/04/03 14:29:59,2018/02/23 08:00:00,08:00:00,AUTOTH,Motor Vehicle Theft,8,2018/04/03 14:26:48,16465,45.01057391,-93.26890302,"-10,382,646.7915","5,623,186.2859",BOTTINEAU,2018/04/03 20:51:10,2018/04/04 20:00:34
4743,0003XX Cedar AV S,3751064,MP 2018 105195,1,2018/04/03 14:29:59,2018/04/03 14:00:00,14:00:00,THEFT,Other Theft,7,2018/04/03 14:38:03,20344,44.97076328,-93.24725145,"-10,380,236.5498","5,616,919.9372",CEDAR RIVERSIDE,2018/04/04 13:45:26,2018/04/04 20:00:34
4744,0059XX Penn AV S,3751096,MP 2018 105286,5,2018/04/03 17:25:00,2018/03/29 20:00:00,20:00:00,THEFT,Other Theft,7,2018/04/03 17:23:45,21878,44.89563759,-93.30866686,"-10,387,073.2819","5,605,106.6965",ARMATAGE,2018/04/03 22:26:57,2018/04/04 20:00:34
4745,0034XX 15 AV S,3751098,MP 2018 105351,3,2018/04/03 17:39:59,2018/04/03 12:59:59,13:00:00,THEFT,Other Theft,7,2018/04/03 17:41:25,11605,44.94045442,-93.25370902,"-10,380,955.4026","5,612,152.1196",POWDERHORN PARK,2018/04/03 20:55:02,2018/04/04 20:00:34
4746,0037XX 22 AV S,3751104,MP 2018 105345,3,2018/04/03 18:00:00,2018/03/29 18:59:59,19:00:00,THEFT,Other Theft,7,2018/04/03 18:06:50,11780,44.93501775,-93.24099829,"-10,379,540.4509","5,611,297.1559",STANDISH,2018/04/04 06:06:06,2018/04/04 20:00:34
4747,8 AV N / Elwood AV N,3751106,MP 2018 105427,4,2018/04/03 20:00:00,2018/04/03 18:08:00,18:08:00,MURDR,Murder (general),1,2018/04/03 18:14:31,,44.98634,-93.30146,"-10,386,270.61","5,619,371.11",NEAR - NORTH,2018/04/04 13:08:45,2018/04/04 20:00:34
4748,0009XX Washington AV SE,3751110,MP 2018 105411,2,2018/04/03 18:40:59,2018/04/03 17:39:59,17:40:00,ROBBIZ,Robbery Of Business,4,2018/04/03 18:40:27,22801,44.97360851,-93.22479655,"-10,377,736.8816","5,617,367.6434",PROSPECT PARK - EAST RIVER ROAD,2018/04/03 20:50:31,2018/04/04 20:00:34
4749,0019XX Columbus AV S,3751112,MP 2018 105343,3,2018/04/03 18:49:59,2018/04/03 16:49:00,16:49:00,BURGD,Burglary Of Dwelling,6,2018/04/03 18:49:16,18710,44.9639669,-93.26383258,"-10,382,082.3527","5,615,850.5951",VENTURA VILLAGE,2018/04/04 03:09:01,2018/04/04 20:00:34
4750,0019XX Penn AV N,3751120,MP 2018 105498,4,2018/04/03 19:34:59,2018/03/28 12:00:00,12:00:00,AUTOTH,Motor Vehicle Theft,8,2018/04/03 19:34:00,21013,44.99967021,-93.3082096,"-10,387,022.3794","5,621,469.5684",WILLARD - HAY,2018/04/04 06:18:01,2018/04/04 20:00:34
4751,13 AV SE / University AV SE,3751122,MP 2018 105372,2,2018/04/03 19:47:59,2018/04/03 17:15:00,17:15:00,ROBPER,Robbery Of Person,4,2018/04/03 19:47:18,,44.98006,-93.23795,"-10,379,201.4","5,618,382.987",UNIVERSITY OF MINNESOTA,2018/04/03 23:35:26,2018/04/04 20:00:34
4752,0030XX Excelsior BL ,3751124,MP 2018 105491,5,2018/04/03 19:57:00,2018/04/03 18:40:00,18:40:00,TFMV,Theft From Motr Vehc,7,2018/04/03 19:57:00,16295,44.94671265,-93.3216039,"-10,388,513.4263","5,613,136.3815",WEST CALHOUN,2018/04/04 06:43:44,2018/04/04 20:00:34
4753,0013XX 22 ST E,3751128,MP 2018 105504,3,2018/04/03 20:23:59,2018/04/03 18:59:59,19:00:00,BURGD,Burglary Of Dwelling,6,2018/04/03 20:23:31,17791,44.96093146,-93.25549908,"-10,381,154.6709","5,615,373.0402",VENTURA VILLAGE,2018/04/04 00:02:15,2018/04/04 20:00:34
4754,0005XX 14 AV SE,3751141,MP 2018 105701,2,2018/04/03 21:59:59,2018/03/27 12:00:00,12:00:00,THFTSW,Theft By Swindle,7,2018/04/03 21:50:45,16638,44.981964,-93.23460561,"-10,378,828.8209","5,618,682.5341",MARCY HOLMES,2018/04/03 22:37:00,2018/04/04 20:00:34
4755,0006XX 13 AV NE,3751154,MP 2018 105683,2,2018/04/03 23:15:00,2018/03/17 19:51:59,19:52:00,ASLT4,Aslt-police/emerg P,5,2018/04/03 23:16:50,20104,45.00090191,-93.25308449,"-10,380,885.8801","5,621,663.4749",LOGAN PARK,2018/04/04 14:03:03,2018/04/04 20:00:34
4756,0016XX Broadway AV W,3751161,MP 2018 105632,4,2018/04/03 23:55:00,2018/04/03 21:01:59,21:02:00,THEFT,Other Theft,7,2018/04/03 23:48:20,14793,44.99945235,-93.30128954,"-10,386,252.0416","5,621,435.2699",WILLARD - HAY,2018/04/04 06:18:28,2018/04/04 20:00:34
4757,29 AV S / Lake ST E,3751162,MP 2018 105678,3,2018/04/03 22:20:00,2018/04/03 19:40:00,19:40:00,TFMV,Theft From Motr Vehc,7,2018/04/03 23:48:54,,44.94837,-93.23,"-10,378,316.34","5,613,397.464",LONGFELLOW,2018/04/04 06:06:28,2018/04/04 20:00:34
4758,0034XX 4 ST N,3751182,MP 2018 105954,4,2018/04/04 07:31:59,2018/04/04 06:01:00,06:01:00,AUTOTH,Motor Vehicle Theft,8,2018/04/04 07:32:26,10406,45.01759289,-93.28497304,"-10,384,435.6978","5,624,291.5519",MCKINLEY,2018/04/04 12:49:03,2018/04/04 20:00:34
4759,0027XX Humboldt AV N,3751184,MP 2018 105960,4,2018/04/04 07:57:00,2018/04/04 06:10:00,06:10:00,BURGD,Burglary Of Dwelling,6,2018/04/04 07:56:30,19824,45.00867213,-93.2981055,"-10,385,897.5957","5,622,886.8389",JORDAN,2018/04/04 12:19:33,2018/04/04 20:00:34
4760,0024XX 30 AV S,3751188,MP 2018 998335,3,2018/04/04 09:06:55,2018/04/03 20:00:00,20:00:00,THEFT,Other Theft,7,2018/04/04 09:06:55,17404,44.95827863,-93.2282886,"-10,378,125.6141","5,614,955.6996",SEWARD,2018/04/04 09:07:03,2018/04/04 20:00:34
4761,0035XX Emerson AV N,3751189,MP 2018 106020,4,2018/04/04 09:11:00,2018/04/04 08:39:59,08:40:00,AUTOTH,Motor Vehicle Theft,8,2018/04/04 09:11:02,10412,45.01945196,-93.29432869,"-10,385,477.1639","5,624,584.319",FOLWELL,2018/04/04 12:28:41,2018/04/04 20:00:34
4762,0031XX Mckinley ST NE,3751194,MP 2018 998332,2,2018/04/04 09:39:14,2018/04/03 10:20:00,10:20:00,THEFT,Other Theft,7,2018/04/04 09:39:14,10813,45.02499494,-93.22814759,"-10,378,109.9172","5,625,457.2866",WAITE PARK,2018/04/04 09:48:52,2018/04/04 20:00:34
4763,0025XX Penn AV N,3751195,MP 2018 106037,4,2018/04/04 10:04:00,2018/04/04 09:04:59,09:05:00,BURGD,Burglary Of Dwelling,6,2018/04/04 10:01:47,20609,45.00557177,-93.30820797,"-10,387,022.1986","5,622,398.6905",JORDAN,2018/04/04 12:23:17,2018/04/04 20:00:34
4764,0009XX Washington AV SE,3751199,MP 2018 106048,2,2018/04/04 10:20:00,2018/04/04 09:04:59,09:05:00,THEFT,Other Theft,7,2018/04/04 10:21:46,22801,44.97360851,-93.22479655,"-10,377,736.8816","5,617,367.6434",PROSPECT PARK - EAST RIVER ROAD,2018/04/04 14:49:14,2018/04/04 20:00:34
4765,0026XX Dupont AV N,3751202,MP 2018 998331,4,2018/04/04 10:25:24,2018/03/30 11:00:00,11:00:00,THEFT,Other Theft,7,2018/04/04 10:25:24,10914,45.00684445,-93.29304617,"-10,385,334.3941","5,622,599.0692",HAWTHORNE,2018/04/04 10:25:32,2018/04/04 20:00:34
4766,0027XX 14 AV S,3751207,MP 2018 106087,3,2018/04/04 11:15:00,2018/04/01 10:15:00,10:15:00,BURGD,Burglary Of Dwelling,6,2018/04/04 11:15:09,18406,44.95283952,-93.25500518,"-10,381,099.6902","5,614,100.0863",MIDTOWN PHILLIPS,2018/04/04 13:38:26,2018/04/04 20:00:34
